Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/03/26 - 31/03/26],Report Updated=[07/04/26]
ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 4,61,519.64",188,₹ 0.00,₹ 0.00,179,15
B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),White Mulberry,IN,"₹ 2,76,761.51",121,₹ 0.00,₹ 0.00,122,17
B0CQX3VB1R,"TONOR Dynamic USB/Type-C Microphone for PC, RGB Podcast Computer Gaming Microphone with Arm Stand for Recording, Live, Streaming, YouTube, Vocals, Studio, Karaoke Microphone, Quick Mute Button, Black",TONOR,IN,"₹ 86,989.74",52,₹ 0.00,₹ 0.00,52,15
B0BYHHSLPC,"TONOR TC777 Pro Gaming USB Microphone for PC, RGB Condenser Computer Mic with Tripod Stand, Quick Mute, Gain Control, for Gaming, Streaming, Podcasting, Recording, Cardioid Mic Kit for Laptop/PS4/PS5",TONOR,IN,"₹ 78,856.68",49,₹ 0.00,₹ 0.00,45,5
B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),White Mulberry,IN,"₹ 73,535.69",28,₹ 0.00,₹ 0.00,27,7
B0DB5YTQZV,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Monitor Stand for 17-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Mount - (Dual Screen),White Mulberry,IN,"₹ 66,068.62",39,₹ 0.00,₹ 0.00,40,3
B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30",TONOR,IN,"₹ 40,998.32",22,₹ 0.00,₹ 0.00,22,6
B0BRKFP94K,"TONOR TD510 Dynamic Microphone, USB/XLR PC Microphone for Podcast, Recording, Live Streaming & Gaming, XLR Cardioid Studio Mic Music Voice-Over with Quick Mute, Headphone Output, Volume Control",TONOR,IN,"₹ 37,278.78",11,₹ 0.00,₹ 0.00,13,2
B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",TONOR,IN,"₹ 25,411.02",15,₹ 0.00,₹ 0.00,14,5
B078WNW4YW,"TONOR Wireless Microphone Isolation Shield, Mic Sound Absorbing Foam Reflector for Any Condenser Recording Equipment Studio (Black)",TONOR,IN,"₹ 22,025.40",10,₹ 0.00,₹ 0.00,10,4
B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity",TONOR,IN,"₹ 21,810.18",14,₹ 0.00,₹ 0.00,16,5
B0CCV74CL7,"TONOR TC310+ RGB Condenser Mic with Boom Arm Quick Mute, RGB Lighting, Pop Filter, Shock Mount,Gaming USB Microphone Set for PC Gain Control for Streaming Podcasting Recording Discord Twitch YouTube",TONOR,IN,"₹ 20,332.21",8,₹ 0.00,₹ 0.00,8,2
B0DB5VVPSB,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity| VESA 75X75&100X100 | Adjustable Metal Desk Monitor Mount-(Dual Screen),White Mulberry,IN,"₹ 19,911.00",5,₹ 0.00,₹ 0.00,5,
B082W4B7SX,"TONOR Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop , 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",TONOR,IN,"₹ 12,452.52",6,₹ 0.00,₹ 0.00,7,2
B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",TONOR,IN,"₹ 10,589.00",5,₹ 0.00,₹ 0.00,3,
B08V1JS3NY,"TONOR USB Microphone Kit, Streaming Podcast PC Cardioid Condenser Computer Mic for Gaming, YouTube Video, Recording Music, Voice Over, Studio Mic Bundle with Adjustment Arm Stand(TC40)",TONOR,IN,"₹ 8,387.28",3,₹ 0.00,₹ 0.00,3,
B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),White Mulberry,IN,"₹ 6,987.30",5,₹ 0.00,₹ 0.00,1,
B0CSCT63BL,"TONOR TM310 USB Conference Microphone for Laptop, Adjustable Computer PC Mic with Mute Button & LED Indicator for Video Call Meeting, Mic for Desktop Zoom Skype YouTube, Plug-Play for MacOS Windows",TONOR,IN,"₹ 6,353.40",3,₹ 0.00,₹ 0.00,3,1
B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 5,082.20",3,₹ 0.00,₹ 0.00,2,1
B0BG8CJXHH,"TONOR USB Microphone Kit, PC Podcast Recording Cardioid Condenser Computer Mic Set for Gaming, Streaming, Singing, Voice Over, YouTube, Studio Mic Bundle with Adjustable Arm Stand, TC30+",TONOR,IN,"₹ 4,744.07",2,₹ 0.00,₹ 0.00,2,
B07TSN2H9D,"TONOR Cardioid Condenser Microphone, USB Computer Mic Kit with 24mm Diaphragm/Spider Shock Mount for Podcasting, Gaming, Streaming, YouTube, Voice Over, Studio/Home Recording, TC-2030",TONOR,IN,"₹ 3,558.47",1,₹ 0.00,₹ 0.00,1,
B09Z5Q194D,"TONOR USB Microphone Computer Gaming Condenser Mic, Noise-Canceling Zero Latency Monitoring for Podcast/Recording/Livestreaming/Teleconferencing on PC/Mac/Android Device, Plug and Play, ORCA001",TONOR,IN,"₹ 3,304.24",1,₹ 0.00,₹ 0.00,1,
B0DP3194QN,White Mulberry |DIY| Heavy-Duty Mechanical Spring Monitor Arm | Desk Mounted Monitor Stand for 17-45 Inch Monitor |16Kg Screen Capacity|VESA 75X75&100X100|Adjustable Desk Mount-(Single Screen),White Mulberry,IN,"₹ 2,965.25",1,₹ 0.00,₹ 0.00,1,
B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",TONOR,IN,"₹ 2,541.53",1,₹ 0.00,₹ 0.00,1,
B0B4WTHLX5,"TONOR RGB USB Microphone, Cardioid Condenser Computer PC Mic with Tripod Stand, Pop Filter, Shock Mount for Gaming, Streaming, Podcasting, YouTube, Twitch, Compatible with Laptop Desktop,TC30 with RGB",TONOR,IN,"₹ 2,117.80",1,₹ 0.00,₹ 0.00,1,
B0BBL47VR5,"TONOR RGB USB Gaming Microphone Kit, Podcast Microphone for PC, One-tap Mute for Streaming, Cardioid Condenser Microphone for PS4/5 Gamer Youtuber, Studio Mic Bundle with Adjustment Arm Stand",TONOR,IN,₹ 0.00,0,,,,
B0BRCR2QQ7,"TONOR USB Gaming Microphone, RGB Streaming Microfono Set, PC Podcast Recording Computer Mic for PS4/5, Discord, Twitch, Cardioid Condenser Mic with Adjustable Boom Arm Stand TC30S+",TONOR,IN,₹ 0.00,0,₹ 0.00,₹ 0.00,1,2
B0BRKDLXCD,"RGB Boom Arm, TONOR Adjustable Mic Stand with RGB Light for HyperX QuadCast/Blue Yeti/Shure SM7B/Rode NT1, Rotatable Suspension Boom Scissor Stand for Gaming Streaming Podcasting YouTube Recording T90",TONOR,IN,"₹ -6,947.46",-2,,,,
